Label,String,Translation
TN_BlueArea_InfoKinopio67,"Let's see here...
""Disco Ball Party Leads to Ice Pick
Attack.""  So, wait for them to start dancing,
and then use the Ice Pick to...
break the ball? Is that a typo?", 
TN_PortArea_MonoSiri48,"You must seek a Thing that makes
the small look big. Seek it inside the
coolest part of the kitchen.", 
TN_BlueArea_InfoKinopio11,"Let's see here... Today's headline is
""Hero Toad Loses Clothes, Mind
at Cherry Lake.""  Hero, eh? We don't need another
hero. Or...do we?", 
TN_BlueArea_InfoKinopio69,"Let's see here... Today's headline is
""Dragon Eats Hamburger.""  Huh. Slow news day.̠
Now, if he ate one of those super-
spicy Magma Burgers from Fort
Cobalt, that would be something!", 
TN_BlueArea_InfoKinopio12,"Let's see here... Today's headline is
""Shimmering Blue Waters—Exploring
Port Prisma's Indigo Underground.""  Bit of a mouthful, if you ask me. But
the Indigo Underground... Isn't that
place just outside of town?", 
TN_BlueArea_InfoKinopio13,"Let's see here... Today's headline
is ""Suspicious Thing Found in
Harbor District.""  They call this news? Harbors are a
breeding ground for suspicion.
Everyone knows that!", 
TN_BlueArea_InfoKinopio14,"Let's see here... Today's headline is
""Mountain Sage Madness on Daffodil
Peak!""  Hmm...that's that mountain beyond
the Indigo Underground. The real
steep and rocky one.", 
TN_BlueArea_InfoKinopio15,"Let's see here... Today's headline is
""Breaking: Bloo Bay Boat Broken
on Beach.""  Someone needs to go help them!
I would, but I have a sand phobia.", 
TN_BlueArea_InfoKinopio16,"Let's see here... Today's headline is
""Crimson Tower Gate Closed;
Weird Keys Needed.""  Weird keys? What the heck are
weird keys?", 
TN_BlueArea_InfoKinopio17,"Let's see here... Today's headline is
""Port Prisma's Postal Toad Still MIA.""  Huh. I hope nobody tossed him in
the recycling bin like a piece of
common junk mail...", 
TN_BlueArea_InfoKinopio18,"Let's see here... Today's headline is
""Fire Safety—Don't Get Burned.""  Well, that seems obvious. How about,
""If you see a fire, put it out."" There's
a Fire Extinguisher on Ruddy Road,
you know...", 
TN_BlueArea_InfoKinopio80,"""Prisma Fountain Restored!
Game Beaten!""  Not sure what ""game beaten"" means,
but would you like to watch the
Prisma Splash parade again? <  Ĭ2TN_BlueArea_InfoKinopio81", 
TN_PortArea_MonoSiri61,"You must seek a steel-headed Thing
for whacking other things. Seek
within a world of square dots, in the
shadow of three pipes.", 
TN_BlueArea_InfoKinopio81,"Yeah!
No, thanks.", 
TN_PortArea_MonoSiri62,"You must seek a Thing that turns
wind into music. Seek within a world
of square dots, behind a black wall.", 
TN_BlueArea_InfoKinopio82,"All right! Enjoy!", 
TN_PortArea_MonoSiri63,"You must seek a sparkly round Thing
that can create a party out of thin
air. Find it backstage at the big top.", 
TN_BlueArea_InfoKinopio83,"Gotcha. Let me know if you change
your mind.", 
TN_BlueArea_InfoKinopio85,"Let's see here...̠
""Green Energy Plant Discovers
New Power Source.""  Now they're playing with power!", 
TN_PortArea_MonoSiri10,"Come back anytime!", 
TN_BlueArea_InfoKinopio30,"""Mustachioed Bro Wins
Big Paint Star at Coliseum!""  That's you! You're famous!", 
TN_PortArea_MonoSiri11,"You must seek a Thing that goes
""plorp."" You keep it in your bathroom,
and you hope you never need it.", 
TN_BlueArea_InfoKinopio31,"Let's see here... Today's headline is
""Giant Coin Discovered in Mondo
Woods. Finders Keepers Declared.""  Whoa. I think I need to take the
rest of the day off and see if I
can get my hands on that coin!", 
TN_PortArea_MonoSiri12,"You must seek a Thing that spins
and blows a mighty wind near a
beautiful lake.", 
TN_BlueArea_InfoKinopio32,"Let's see here... Today's headline is
""Boo! Dark Bloo Inn Closed Due
to Paranormal Activity!""  I don't believe in ghosts. Do
you think I could still make a
reservation?", 
TN_KiritoriHint_Kinopio01,"It's a mystery for the ages. Strange
dotted lines...appearing out of the
ether...transcending the very
boundaries of time and space!  Grab your transdimensional
scissors and join me as we
explore...ɘDeep Cuts.", 
TN_PortArea_MonoSiri13,"You must seek a red Thing on a red
road... It cools that which is hot.", 
TN_KiritoriHint_Kinopio02,"A steamy shower.
Behind a sandy café.
Don't flush the toilet!", 
TN_PortArea_MonoSiri14,"You must seek a tart and tangy
yellow Thing that took a tumble
in the Indigo Underground.", 
TN_BlueArea_InfoKinopio34,"Let's see here... Today's headline is
""White Water and Stranded Ships—
a Port in Turmoil!""  I don't know what any of that
means, but it sure sounds dramatic!", 
TN_KiritoriHint_Kinopio03,"A green L waits in
the valley you spread on toast.
Stand on the log lift.", 
TN_PortArea_MonoSiri15,"You must seek a fortunate feline
Thing atop a tower.", 
TN_BlueArea_InfoKinopio35,"Let's see here... Today's headline is
""Scientists Agree—the Floor Is Lava
at Kiwano Temple!""  I knew it! The floor IS lava!", 
TN_KiritoriHint_Kinopio04,"A face peeking out.
An ancient Coliseum.
No seats here, my friend.", 
TN_PortArea_MonoSiri16,"I sense one more thing about the
Thing or Things you seek... You
already have everything you need
right now!", 
TN_BlueArea_InfoKinopio36,"Let's see here... Today's headline is
""Large Turnip Turns Up in the
Sacred Forest.""  I hear the Rescue Toads are
working on harvesting it.", 
