Label,String,Translation
NOK_BTL_COM_KOURA01,"I'm in my shell, biding my time.", 
STHEI_B_BTL_COM03,"Gimme, gimme, gimme...", 
SOM_HEI_BTL_COM03,"Passionate arpeggio of DOOM!", 
ST_MUC_BTL_COM_NO02,"The best offense is a good offense!", 
TRS10_3BTL_COM01,"Ahaha!", 
LDW_GBN_BTL_COM04,"Remember your training...", 
HEI_BTL_COM_FACTORY01,"We're gonna roll ya!", 
NOK_BTL_COM_KOURA02,"In your face!", 
HEI_B_BTL_COM01,"A bolt from the blue!", 
STHEI_B_BTL_COM04,"Blue paint...", 
SOM_HEI_BTL_COM04,"I'm all hat, ALL CATTLE!", 
ST_MUC_BTL_COM_NO03,"If it ain't broke, don't fix it.", 
HEI_BTL_COM_FACTORY02,"This factory is ours!", 
HEI_B_BTL_COM02,"Blue streak!", 
ST_MUC_BTL_COM_NO04,"Regurgitating bullets in 5, 4, 3...", 
GBN_BTL_COM_BALL01,"Catch!", 
KRN5_5BTL_COM01,"The driest of bones!", 
HEI_BTL_COM_FACTORY03,"Heave ho, log throw!", 
EXO_HEI_BTL_COM_BUG01,"Shhhhhhhhhhhhhh...", 
HEI_B_BTL_COM03,"Go, go, indigo!", 
GBN_BTL_COM_BALL02,"This is going to hurt!", 
TMET_BTL_COM_KOURA01,"I'm a shell of my former self...", 
CBN_BTL_COM01,"Multiply!", 
CBN8_3BTL_COM01,"Don't count us out yet!", 
HEI_BTL_COM_FACTORY04,"We should get back to work.", 
EXO_HEI_BTL_COM_BUG02,"SCHLURRRRRRP... Tastyyyyyyyyy...", 
HEI_B_BTL_COM04,"Feeling blue?", 
DPS_HEI_R_BTL_COM01,"This is fine.", 
RLG_HEI_R_BTL_COM01,"The ring won't stop!", 
TMET_BTL_COM01,"I'm basically invincible!", 
TMET_BTL_COM_KOURA02,"It's cozy in here...", 
CBN_BTL_COM02,"We are legion!", 
EXO_HEI_BTL_COM_BUG03,"*sniff* *sniff*", 
DPS_HEI_R_BTL_COM02,"This is NOT fine.", 
RLG_HEI_R_BTL_COM02,"Heave-ho! Heave-ho!", 
TMET_BTL_COM02,"Look who grew a spike!", 
CBN_BTL_COM03,"Multiply! Divide! Repeat! Destroy!", 
CBN8_4BTL_COM01,"Divided we stand!", 
CHU10_2BTL_COM01,"Squeeek", 
EXO_HEI_BTL_COM_BUG04,"Eheheheh...", 
DPS_HEI_R_BTL_COM03,"*gasp!*", 
