Label,String,Translation
Name_TRS_10,"Boo 10-Stack", 
Name_N_KNP_CLM,"Toad", 
Name_DHEI,"The Shy Bandit", 
Name_TMUC_G,"Green Spike Snifit", 
Name_BBL,"Lava Bubble", 
Name_PAT,"Koopa Paratroopa", 
Name_PAT_10,"Koopa Paratroopa 10-Stack", 
Name_CHU_N,"Scaredy Rat 10-Stack", 
Name_FPK,"Ptooie", 
Name_HBRS,"Hammer Bro", 
Name_HEI_P,"Pink Shy Guy", 
Name_BLR_HEI_R,"Soggy Guy", 
Name_SOM_HEI,"Sombrero Guy", 
Name_HEI_R,"Red Shy Guy", 
Name_HG_HEI_R,"Red Shield Guy", 
Name_SNBG_PAINKY,"Green Pokey", 
Name_CHU,"Scaredy Rat", 
Name_HKN,"Ninji", 
Name_UC_HEI,"Unicycle Shy Guys", 
Name_WDY,"Wendy", 
Name_TMUC_P,"Pink Spike Snifit", 
Name_STHEI_B,"Blue Slurp Guy", 
Name_MZ_HEI,"Laundry Guy", 
Name_S_PUK,"Small Cheep Cheep", 
Name_IGY_MUC,"Chariot Snifit", 
Name_TMUC_R,"Red Spike Snifit", 
Name_GES_10,"Blooper 10-Stack", 
Name_S_KUR_MAT,"Small Goomba Gang", 
Name_HL_MET,"Buzzy Beetle Gang", 
Name_HEI_Y,"Yellow Shy Guy", 
Name_HG_HEI_Y,"Yellow Shield Guy", 
Name_LAR,"Larry", 
Name_POO,"Rocky Wrench", 
Name_GES,"Blooper", 
Name_CBN_8,"Fuzzy Stack", 
Name_MTN_BOX,"Pedestal", 
Name_NOK,"Koopa Troopa", 
Name_TMUC_Y,"Yellow Spike Snifit", 
Name_BPK,"Petea Piranha", 
Name_ROY,"Roy", 
Name_BK_HEI,"Pry Guy", 
Name_JBBRS,"Circus Bro", 
Name_S_KUR_TREE,"Small Goomba Gang", 
Name_MTX_HEI,"Black Shy Guy", 
Name_LMY,"Lemmy", 
Name_TG_KUR,"Paper-Cone Goomba", 
Name_BMBRS,"Shady Sledge Bro", 
Name_BBBL,"Big Lava Bubble", 
Name_STHEI_R,"Red Slurp Guy", 
Name_KPA,"Bowser", 
Name_BBBL_HEI,"Red Shy Guy", 
Name_DPS_HEI_R,"Red Shy Guy", 
Name_PNK_HEI_R,"Paint Guy", 
Name_IGY,"Iggy", 
Name_STHEI_Y,"Yellow Slurp Guy", 
Name_GLD_HEI,"Gold Shy Guy", 
Name_MUC_B,"Blue Snifit", 
Name_BEEF,"Steak", 
Name_KUR,"Goomba", 
Name_GBN,"Spike", 
Name_MUC_G,"Green Snifit", 
Name_BLKUR,"Accordion Goombas", 
Name_PGES,"Poison Blooper", 
Name_S_KUR_S_TREE,"Small Goomba Gang", 
Name_WHI_MUC_B,"Blue Whistle Snifit", 
Name_FBRS_8,"Fire Bro 8-Stack", 
Name_KNP_FPK,"Ptooie", 
Name_LDW_BOAT,"Super Ludsub", 
Name_TGZ,"Spiny", 
Name_S_MET,"Small Buzzy Beetle", 
Name_N_KNP,"Toad", 
Name_WHI_MUC_G,"Green Whistle Snifit", 
Name_IGY_TANK,"Chariot Bro", 
Name_LMY_BALL,"Wonder Ball", 
Name_MUC_P,"Pink Snifit", 
Name_SNBG,"Green Pokey", 
Name_MUC_R,"Red Snifit", 
Name_S_KUR_X5,"Small Goomba Wheel", 
Name_CBN,"Fuzzy", 
Name_S_MET_CORPS,"Small Buzzy Beetle Gang", 
Name_EXO_HEI_R,"Shunned Guy", 
Name_TOGE_HEI_B,"Blue Spike Guy", 
Name_MUC_Y,"Yellow Snifit", 
Name_POT_PKF,"Fire Piranha Plant", 
Name_CL_HEI_5,"Coal Guy", 
Name_WHI_MUC_R,"Red Whistle Snifit", 
Name_KRN,"Dry Bones", 
Name_IGY_HBRS,"Chariot Bro", 
Name_JHBRS,"Juggler Bro", 
Name_N_YOS,"Yoshi", 
Name_BKUR,"Mega Goomba", 
Name_PKUR,"Paragoomba", 
Name_TOGE_HEI_G,"Green Spike Guy", 
Name_MAR,"Mario", 
Name_KMK,"Kamek", 
Name_PUK,"Cheep Cheep", 
Name_BOM,"Bob-omb", 
Name_WHI_MUC_Y,"Yellow Whistle Snifit", 
Name_SMUC_B,"Blue Slurp Snifit", 
Name_KRN_5,"Dry Bones 5-Stack", 
Name_LIT_BEAST,"Wild Dino Rhino", 
Name_BBRS,"Boomerang Bro", 
Name_TWR_MET,"Buzzy Beetle Tower", 
Name_MTN,"Morton", 
Name_TMET,"Spike Top", 
Name_TOGE_HEI_P,"Pink Spike Guy", 
Name_TOGE_HEI_R,"Red Spike Guy", 
Name_TRP_HEI,"Trampoline Shy Guys", 
Name_SLV_HEI,"Silver Shy Guy", 
Name_PKF,"Piranha Plant", 
Name_LDW_GBN,"Spike", 
Name_B_TGZ,"Big Spiny", 
Name_TOGE_HEI_Y,"Yellow Spike Guy", 
Name_HEI_4,"Shy Guy 4-Stack", 
Name_HEI_5,"Shy Guy 5-Stack", 
Name_SMUC_R,"Red Slurp Snifit", 
Name_FBRS,"Fire Bro", 
Name_TRS,"Boo", 
Name_S_KUR_MUTEKI,"Small Goomba Gang", 
Name_KPA_BBL,"Black Lava Bubble", 
Name_IBRS,"Ice Bro", 
Name_BSA,"Swoop", 
Name_SNB,"Pokey", 
Name_LIT,"Dino Rhino", 
Name_TMR_HEI,"Animal Trainer Shy Guy", 
Name_GUEST_PNK_HEI,"Paint Guy", 
Name_RLG_HEI_G,"Green Roller Guy", 
Name_S_KUR,"Small Goomba", 
Name_LDW_SHIP,"Super Ludship", 
Name_FIRE_PKF,"Fire Piranha Plant", 
Name_NOK_6,"Koopa Troopa 6-Stack", 
Name_SMUC_Y,"Yellow Slurp Snifit", 
Name_HEI_B,"Blue Shy Guy", 
Name_HG_HEI_B,"Blue Shield Guy", 
Name_D_MET,"Buzzy Beetle", 
Name_B_KMK,"Kamek", 
Name_S_BRS,"Small Hammer Bro", 
Name_RLG_HEI_P,"Pink Roller Guy", 
Name_LDW,"Ludwig", 
Name_RLG_HEI_R,"Red Roller Guy", 
Name_TMUC_B,"Blue Spike Snifit", 
Name_HEI_G,"Green Shy Guy", 
Name_MET,"Buzzy Beetle", 
Name_HKUR,"Bone Goomba", 
Name_MBRS,"Sledge Bro", 
Name_MTN_HEI,"Red Shy Guy", 
