Label,String,Translation
ItemName_PNL_FIRE_FLOWER,"Fire Flower", 
ItemName_PNL_NOK,"Koopa Troopa", 
ItemName_PNL_ROY,"Roy", 
ItemName_PNL_INSTANT_CAMERA,"Instant Camera", 
ItemName_PNL_RECORDER,"Recorder", 
ItemName_PNL_SMPL_BALLOON,"Balloons Replica", 
ItemName_PNL_SMPL_TUB,"Basin Replica", 
ItemName_PNL_SMPL_DRYER,"Hair Dryer Replica", 
ItemName_PNL_SMPL_LOUPE,"Magnifying Glass Replica", 
ItemName_PNL_SMPL_BULB,"Lightbulb Replica", 
ItemName_PNL_STMUC_Y,"Yellow Slurp Snifit", 
ItemName_PNL_LMY,"Lemmy", 
ItemName_PNL_BONE,"Bone", 
ItemName_PNL_SMPL_MEGAPHONE,"Megaphone Replica", 
ItemName_PNL_SMALL_JUMPX3,"Worn-Out Jump x3", 
ItemName_PNL_SMALL_JUMPX5,"Worn-Out Jump x5", 
ItemName_PNL_STHEI_B,"Blue Slurp Guy", 
ItemName_KEY_B3_BIRD_IN_CAGE,"Caged", "Bird""", 
ItemName_PNL_OPENER,"Bottle Opener", 
ItemName_PNL_KPA,"Black Bowser's Castle", 
ItemName_PNL_SMPL_PLUNGER,"Plunger Replica", 
ItemName_PNL_SMPL_BATTERY,"Battery Replica", 
ItemName_KEY_V2_SEA_MEMO_1,"Day 1 Journal Entry", 
ItemName_KEY_V2_SEA_MEMO_2,"Day 2 Journal Entry", 
ItemName_KEY_V2_SEA_MEMO_3,"Day 3 Journal Entry", 
ItemName_PNL_FAN,"Fan", 
ItemName_KEY_PERMIT,"Mountain Climbing Permit", 
ItemName_KEY_V2_SEA_MEMO_4,"Day 4 Journal Entry", 
ItemName_PNL_IGY,"Iggy", 
ItemName_PNL_LEMON,"Lemon", 
ItemName_KEY_V2_SEA_MEMO_5,"Day 5 Journal Entry", 
ItemName_LETTER_PEACH_02,"Holo-Peach PR-M2", 
ItemName_PNL_FIRE_HAMMER,"Blazehammer", 
ItemName_PNL_JBBRS,"Circus Bro", 
ItemName_KEY_R2_KINOPIO_TUNIC,"Toad's Vest", 
ItemName_LETTER_PEACH_03,"Holo-Peach PR-M3", 
ItemName_PNL_TAIL,"Tail", 
ItemName_PNL_EXTINGUISHER,"Fire Extinguisher", 
ItemName_PNL_SMPL_MIRROR_BALL,"Disco Ball Replica", 
ItemName_LETTER_PEACH_04,"Holo-Peach PR-M4", 
ItemName_LETTER_PEACH_05,"Holo-Peach PR-M5", 
ItemName_PNL_KUR,"Goomba", 
ItemName_PNL_GBN,"Spike", 
ItemName_LETTER_PEACH_06,"Holo-Peach PR-M6", 
ItemName_KEY_BB_FISHING_ROD,"Fishing Pole", 
ItemName_LETTER_PEACH_07,"Holo-Peach PR-M7", 
ItemName_PNL_BIG_HAMMER,"Big Hammer", 
ItemName_LETTER_PEACH_08,"Holo-Peach PR-M1", 
ItemName_PNL_SUPERBIG_HAMMER,"Huge Hammer", 
ItemName_PNL_SUPERBIG_PICO_HAMMER,"Huge Eekhammer", 
ItemName_PNL_ICE_FLOWER,"Ice Flower", 
ItemName_PNL_TUB,"Basin", 
ItemName_PNL_MIRROR_BALL,"Disco Ball", 
ItemName_PNL_CORK,"Cork", 
ItemName_PNL_JANKEN_ROCK,"Rock", 
ItemName_PNL_STHEI_R,"Red Slurp Guy", 
ItemName_PNL_BIG_HAMMERX2,"Big Hammer x2", 
ItemName_LETTER_LUIGI_01,"Luigi's First Letter", 
ItemName_LETTER_LUIGI_02,"Luigi's Second Letter", 
ItemName_LETTER_LUIGI_03,"Luigi's Third Letter", 
ItemName_PNL_TGZ,"Spiny", 
ItemName_LETTER_LUIGI_04,"Luigi's Fourth Letter", 
ItemName_LETTER_JKMAJIN_01,"The King Appears!", 
ItemName_PNL_BIG_FIRE_FLOWER,"Big Fire Flower", 
ItemName_PNL_BRAZIER,"Charcoal Grill", 
ItemName_PNL_SMPL_SALT_AND_PEPPER,"Salt and Pepper Replica", 
ItemName_LETTER_LUIGI_05,"Luigi's Fifth Letter", 
ItemName_PNL_MUC_B,"Blue Snifit", 
ItemName_PNL_SMPL_CORK,"Cork Replica", 
ItemName_LETTER_LUIGI_06,"Luigi's Sixth Letter", 
ItemName_PNL_SUPERBIG_LINE_JUMP,"Huge Line Jump", 
ItemName_PNL_STHEI_Y,"Yellow Slurp Guy", 
ItemName_PNL_LUCKYCAT,"Cat-o-Luck", 
ItemName_KEY_BB_MAG_BURGER,"Magma Burger", 
ItemName_LETTER_LUIGI_07,"Luigi's Seventh Letter", 
ItemName_PNL_SUPERBIG_IRON_JUMP,"Huge Iron Jump", 
ItemName_PNL_THROW_HAMMER,"Hurlhammer", 
ItemName_PNL_SPIN_JUMP,"Spin Jump", 
ItemName_PNL_SNB_G,"Green Pokey", 
ItemName_PNL_CBN,"Fuzzy", 
ItemName_PNL_MEGAPHONE,"Megaphone", 
ItemName_PNL_SMPL_TEAPOT,"Teapot Replica", 
ItemName_KEY_VB_MUC_LETTER,"Letter from Chest", 
ItemName_PNL_BIG_SPIN_JUMP,"Big Spin Jump", 
ItemName_PNL_MUC_G,"Green Snifit", 
ItemName_PNL_SMPL_LUCKYCAT,"Cat-o-Luck Replica", 
ItemName_LETTER_JKMAJIN_09,"Long Live the King!", 
ItemName_PNL_SPRING_JUMP,"Hopslipper", 
ItemName_PNL_SMPL_PIGGY_BANK,"Piggy Bank Replica", 
ItemName_PNL_SMPL_RECORDER,"Recorder Replica", 
ItemName_PNL_TOGE_MUC_B,"Blue Spike Snifit", 
ItemName_PNL_SPRING_JUMPX2,"Hopslipper x2", 
ItemName_PNL_KRN,"Dry Bones", 
ItemName_PNL_SMPL_BRAZIER,"Charcoal Grill Replica", 
ItemName_PNL_SPRING_JUMPX3,"Hopslipper x3", 
ItemName_PNL_PKUR,"Paragoomba", 
ItemName_PNL_BIG_ICE_FLOWER,"Big Ice Flower", 
ItemName_PNL_SMPL_TURNIP,"Turnip Replica", 
ItemName_PNL_SMALL_HAMMER,"Worn-Out Hammer", 
ItemName_PNL_MUC_P,"Pink Snifit", 
ItemName_PNL_TOGE_MUC_G,"Green Spike Snifit", 
ItemName_KEY_OB_TRUNK_KEY,"Trunk Key", 
ItemName_PNL_PUK,"Cheep Cheep", 
ItemName_PNL_BOM,"Bob-omb", 
ItemName_PNL_KMK,"Kamek", 
ItemName_PNL_SMPL_BONE,"Bone Replica", 
ItemName_PNL_PICO_HAMMERX2,"Eekhammer x2", 
