Label,String,Translation
DisplayHelp_Art_T31,"Prototype Course 1", 
DisplayHelp_Sound_R1_T3,"Prisma Café", 
DisplayHelp_Art_T32,"Bowser's Castle Ext.", 
DisplayHelp_Sound_R1_T4,"Circle Up, Shy Guys!", 
DisplayHelp_Art_T33,"Bowser's Castle Int.", 
DisplayHelp_Sound_R1_T5,"Shy Vandals", 
DisplayHelp_Sound_SP_T1,"Main Theme ", 
DisplayHelp_Art_T34,"Black Bowser's Factory", 
DisplayHelp_Sound_B3_T1,"Dark Bloo Inn", 
DisplayHelp_Sound_R1_T6,"Rescue Toad Theme", 
DisplayHelp_Sound_SP_T2,"Main Theme (Ragtime)", 
DisplayHelp_Art_T35,"Bowser", 
DisplayHelp_Sound_B3_T2,"Eerie Hotel", 
DisplayHelp_Sound_Y1,"Daffodil Peak", 
DisplayHelp_Sound_R1_T7,"Thing: Fire Extinguisher", 
DisplayHelp_Sound_SP_T3,"White Letter Opening", 
DisplayHelp_Art_T36,"The Emerald Circus", 
DisplayHelp_Sound_B3_T3,"Paranormal Accommodations", 
DisplayHelp_Sound_Y2,"Sunglow Ridge", 
DisplayHelp_Sound_SP_T4,"Roshambo Temple", 
DisplayHelp_Art_T37,"Prototype Course 2", 
DisplayHelp_Sound_B3_T4,"Toadally Spooky", 
DisplayHelp_Sound_Y3,"Château Chanterelle", 
DisplayHelp_Sound_SP_T5,"Overworld", 
DisplayHelp_Art_T38,"Redpepper Volcano", 
DisplayHelp_Sound_Y4,"Mustard Café", 
DisplayHelp_Sound_V2_T1,"Violet Passage", 
DisplayHelp_Sound_SP_T6,"Shy Bandit's Theme", 
DisplayHelp_Art_T39,"Inky (Huey Prototype)", 
DisplayHelp_Sound_G1_T1,"Unremarkable Forest", 
DisplayHelp_Sound_V2_T2,"Get the Boat Back", 
DisplayHelp_Sound_SP_T7,"Piper's Medley", 
DisplayHelp_Sound_G1_T2,"Mondo Woods", 
DisplayHelp_Sound_V2_T3,"To the Open Sea!", 
DisplayHelp_Sound_SP_T8,"Prisma Splash!", 
DisplayHelp_Sound_G1_T3,"Kamek's Theme", 
DisplayHelp_Sound_V2_T4,"Sailor's Song", 
