"Label","String","Translation"
"Name_TRS_10","Boo 10-Stack","Boo 10-Stack"
"Name_N_KNP_CLM","Toad","Toad"
"Name_DHEI","The Shy Bandit","The Shy Bandit"
"Name_TMUC_G","Green Spike Snifit","Green Spike Snifit"
"Name_BBL","Lava Bubble","Lava Bubble"
"Name_PAT","Koopa Paratroopa","Koopa Paratroopa"
"Name_PAT_10","Koopa Paratroopa 10-Stack","Koopa Paratroopa 10-Stack"
"Name_CHU_N","Scaredy Rat 10-Stack","Scaredy Rat 10-Stack"
"Name_FPK","Ptooie","Ptooie"
"Name_HBRS","Hammer Bro","Hammer Bro"
"Name_HEI_P","Pink Shy Guy","Pink Shy Guy"
"Name_BLR_HEI_R","Soggy Guy","Soggy Guy"
"Name_SOM_HEI","Sombrero Guy","Sombrero Guy"
"Name_HEI_R","Red Shy Guy","Red Shy Guy"
"Name_HG_HEI_R","Red Shield Guy","Red Shield Guy"
"Name_SNBG_PAINKY","Green Pokey","Green Pokey"
"Name_CHU","Scaredy Rat","Scaredy Rat"
"Name_HKN","Ninji","Ninji"
"Name_UC_HEI","Unicycle Shy Guys","Unicycle Shy Guys"
"Name_WDY","Wendy","Wendy"
"Name_TMUC_P","Pink Spike Snifit","Pink Spike Snifit"
"Name_STHEI_B","Blue Slurp Guy","Blue Slurp Guy"
"Name_MZ_HEI","Laundry Guy","Laundry Guy"
"Name_S_PUK","Small Cheep Cheep","Small Cheep Cheep"
"Name_IGY_MUC","Chariot Snifit","Chariot Snifit"
"Name_TMUC_R","Red Spike Snifit","Red Spike Snifit"
"Name_GES_10","Blooper 10-Stack","Blooper 10-Stack"
"Name_S_KUR_MAT","Small Goomba Gang","Small Goomba Gang"
"Name_HL_MET","Buzzy Beetle Gang","Buzzy Beetle Gang"
"Name_HEI_Y","Yellow Shy Guy","Yellow Shy Guy"
"Name_HG_HEI_Y","Yellow Shield Guy","Yellow Shield Guy"
"Name_LAR","Larry","Larry"
"Name_POO","Rocky Wrench","Rocky Wrench"
"Name_GES","Blooper","Blooper"
"Name_CBN_8","Fuzzy Stack","Fuzzy Stack"
"Name_MTN_BOX","Pedestal","Pedestal"
"Name_NOK","Koopa Troopa","Koopa Troopa"
"Name_TMUC_Y","Yellow Spike Snifit","Yellow Spike Snifit"
"Name_BPK","Petea Piranha","Petea Piranha"
"Name_ROY","Roy","Roy"
"Name_BK_HEI","Pry Guy","Pry Guy"
"Name_JBBRS","Circus Bro","Circus Bro"
"Name_S_KUR_TREE","Small Goomba Gang","Small Goomba Gang"
"Name_MTX_HEI","Black Shy Guy","Black Shy Guy"
"Name_LMY","Lemmy","Lemmy"
"Name_TG_KUR","Paper-Cone Goomba","Paper-Cone Goomba"
"Name_BMBRS","Shady Sledge Bro","Shady Sledge Bro"
"Name_BBBL","Big Lava Bubble","Big Lava Bubble"
"Name_STHEI_R","Red Slurp Guy","Red Slurp Guy"
"Name_KPA","Bowser","Bowser"
"Name_BBBL_HEI","Red Shy Guy","Red Shy Guy"
"Name_DPS_HEI_R","Red Shy Guy","Red Shy Guy"
"Name_PNK_HEI_R","Paint Guy","Paint Guy"
"Name_IGY","Iggy","Iggy"
"Name_STHEI_Y","Yellow Slurp Guy","Yellow Slurp Guy"
"Name_GLD_HEI","Gold Shy Guy","Gold Shy Guy"
"Name_MUC_B","Blue Snifit","Blue Snifit"
"Name_BEEF","Steak","Steak"
"Name_KUR","Goomba","Goomba"
"Name_GBN","Spike","Spike"
"Name_MUC_G","Green Snifit","Green Snifit"
"Name_BLKUR","Accordion Goombas","Accordion Goombas"
"Name_PGES","Poison Blooper","Poison Blooper"
"Name_S_KUR_S_TREE","Small Goomba Gang","Small Goomba Gang"
"Name_WHI_MUC_B","Blue Whistle Snifit","Blue Whistle Snifit"
"Name_FBRS_8","Fire Bro 8-Stack","Fire Bro 8-Stack"
"Name_KNP_FPK","Ptooie","Ptooie"
"Name_LDW_BOAT","Super Ludsub","Super Ludsub"
"Name_TGZ","Spiny","Spiny"
"Name_S_MET","Small Buzzy Beetle","Small Buzzy Beetle"
"Name_N_KNP","Toad","Toad"
"Name_WHI_MUC_G","Green Whistle Snifit","Green Whistle Snifit"
"Name_IGY_TANK","Chariot Bro","Chariot Bro"
"Name_LMY_BALL","Wonder Ball","Wonder Ball"
"Name_MUC_P","Pink Snifit","Pink Snifit"
"Name_SNBG","Green Pokey","Green Pokey"
"Name_MUC_R","Red Snifit","Red Snifit"
"Name_S_KUR_X5","Small Goomba Wheel","Small Goomba Wheel"
"Name_CBN","Fuzzy","Fuzzy"
"Name_S_MET_CORPS","Small Buzzy Beetle Gang","Small Buzzy Beetle Gang"
"Name_EXO_HEI_R","Shunned Guy","Shunned Guy"
"Name_TOGE_HEI_B","Blue Spike Guy","Blue Spike Guy"
"Name_MUC_Y","Yellow Snifit","Yellow Snifit"
"Name_POT_PKF","Fire Piranha Plant","Fire Piranha Plant"
"Name_CL_HEI_5","Coal Guy","Coal Guy"
"Name_WHI_MUC_R","Red Whistle Snifit","Red Whistle Snifit"
"Name_KRN","Dry Bones","Dry Bones"
"Name_IGY_HBRS","Chariot Bro","Chariot Bro"
"Name_JHBRS","Juggler Bro","Juggler Bro"
"Name_N_YOS","Yoshi","Yoshi"
"Name_BKUR","Mega Goomba","Mega Goomba"
"Name_PKUR","Paragoomba","Paragoomba"
"Name_TOGE_HEI_G","Green Spike Guy","Green Spike Guy"
"Name_MAR","Mario","Mario"
"Name_KMK","Kamek","Kamek"
"Name_PUK","Cheep Cheep","Cheep Cheep"
"Name_BOM","Bob-omb","Bob-omb"
"Name_WHI_MUC_Y","Yellow Whistle Snifit","Yellow Whistle Snifit"
"Name_SMUC_B","Blue Slurp Snifit","Blue Slurp Snifit"
"Name_KRN_5","Dry Bones 5-Stack","Dry Bones 5-Stack"
"Name_LIT_BEAST","Wild Dino Rhino","Wild Dino Rhino"
"Name_BBRS","Boomerang Bro","Boomerang Bro"
"Name_TWR_MET","Buzzy Beetle Tower","Buzzy Beetle Tower"
"Name_MTN","Morton","Morton"
"Name_TMET","Spike Top","Spike Top"
"Name_TOGE_HEI_P","Pink Spike Guy","Pink Spike Guy"
"Name_TOGE_HEI_R","Red Spike Guy","Red Spike Guy"
"Name_TRP_HEI","Trampoline Shy Guys","Trampoline Shy Guys"
"Name_SLV_HEI","Silver Shy Guy","Silver Shy Guy"
"Name_PKF","Piranha Plant","Piranha Plant"
"Name_LDW_GBN","Spike","Spike"
"Name_B_TGZ","Big Spiny","Big Spiny"
"Name_TOGE_HEI_Y","Yellow Spike Guy","Yellow Spike Guy"
"Name_HEI_4","Shy Guy 4-Stack","Shy Guy 4-Stack"
"Name_HEI_5","Shy Guy 5-Stack","Shy Guy 5-Stack"
"Name_SMUC_R","Red Slurp Snifit","Red Slurp Snifit"
"Name_FBRS","Fire Bro","Fire Bro"
"Name_TRS","Boo","Boo"
"Name_S_KUR_MUTEKI","Small Goomba Gang","Small Goomba Gang"
"Name_KPA_BBL","Black Lava Bubble","Black Lava Bubble"
"Name_IBRS","Ice Bro","Ice Bro"
"Name_BSA","Swoop","Swoop"
"Name_SNB","Pokey","Pokey"
"Name_LIT","Dino Rhino","Dino Rhino"
"Name_TMR_HEI","Animal Trainer Shy Guy","Animal Trainer Shy Guy"
"Name_GUEST_PNK_HEI","Paint Guy","Paint Guy"
"Name_RLG_HEI_G","Green Roller Guy","Green Roller Guy"
"Name_S_KUR","Small Goomba","Small Goomba"
"Name_LDW_SHIP","Super Ludship","Super Ludship"
"Name_FIRE_PKF","Fire Piranha Plant","Fire Piranha Plant"
"Name_NOK_6","Koopa Troopa 6-Stack","Koopa Troopa 6-Stack"
"Name_SMUC_Y","Yellow Slurp Snifit","Yellow Slurp Snifit"
"Name_HEI_B","Blue Shy Guy","Blue Shy Guy"
"Name_HG_HEI_B","Blue Shield Guy","Blue Shield Guy"
"Name_D_MET","Buzzy Beetle","Buzzy Beetle"
"Name_B_KMK","Kamek","Kamek"
"Name_S_BRS","Small Hammer Bro","Small Hammer Bro"
"Name_RLG_HEI_P","Pink Roller Guy","Pink Roller Guy"
"Name_LDW","Ludwig","Ludwig"
"Name_RLG_HEI_R","Red Roller Guy","Red Roller Guy"
"Name_TMUC_B","Blue Spike Snifit","Blue Spike Snifit"
"Name_HEI_G","Green Shy Guy","Green Shy Guy"
"Name_MET","Buzzy Beetle","Buzzy Beetle"
"Name_HKUR","Bone Goomba","Bone Goomba"
"Name_MBRS","Sledge Bro","Sledge Bro"
"Name_MTN_HEI","Red Shy Guy","Red Shy Guy"
