"Label","String","Translation",""
"Luigi_Bonus01","Bonus!","Bonus!",""
"Hint_R3_11","Nothing left to do but grab the
Mini Paint Star. Go for it, Mario!","Nothing left to do but grab the
Mini Paint Star. Go for it, Mario!",""
"Hint_Y4_23","The key must still be down in the
Snifits' underground hideout
somewhere, right?","The key must still be down in the
Snifits' underground hideout
somewhere, right?",""
"Hint_VB_20","Let's defeat Wendy and get the Big
Paint Star back!","Let's defeat Wendy and get the Big
Paint Star back!",""
"Hint_R3_12","I just know there's another Paint
Star somewhere in here. I can
smell it a mile away!","I just know there's another Paint
Star somewhere in here. I can
smell it a mile away!",""
"Hint_B4_01","It's quiet. Too quiet.
Something's not right in here.","It's quiet. Too quiet.
Something's not right in here.",""
"Hint_BB_19","I see why that café is so popular.
Could you see us becoming regulars,
Mario?","I see why that café is so popular.
Could you see us becoming regulars,
Mario?",""
"Hint_Y4_24","I definitely think I saw a key hanging
on a wall somewhere down here...","I definitely think I saw a key hanging
on a wall somewhere down here...",""
"Hint_VB_21","Let's wake up our treasure, the Big
Paint Star!","Let's wake up our treasure, the Big
Paint Star!",""
"Y1_EventPainky","Let's go to Daffodil Peak and give
that lying gatekeeper a piece of our
mind!","Let's go to Daffodil Peak and give
that lying gatekeeper a piece of our
mind!",""
"Hint_R3_13","Whew! I'm actually a little surprised
that the Paint Star didn't melt!","Whew! I'm actually a little surprised
that the Paint Star didn't melt!",""
"Hint_B4_02","That Snifit over there is SKETCH.
Might wanna hear him out, though.","That Snifit over there is SKETCH.
Might wanna hear him out, though.",""
"Hint_Y4_25","All right, we got the café key! Let's
give it to the chef and go get that
Paint Star.","All right, we got the café key! Let's
give it to the chef and go get that
Paint Star.",""
"Hint_VB_22","Come to think of it, there was
something in the smoke room of the
parallel world. It might be treasure.
Let's find out!","Come to think of it, there was
something in the smoke room of the
parallel world. It might be treasure.
Let's find out!",""
"Hint_R3_14","I don't think Draggadon can get
us here. There's no lava! I wonder
if there's any way to fill this place
in with some lava...","I don't think Draggadon can get
us here. There's no lava! I wonder
if there's any way to fill this place
in with some lava...",""
"Hint_B4_03","I'm still not sure what that Snifit
was trying to sell us. Whatever it
was, it wasn't cheap.","I'm still not sure what that Snifit
was trying to sell us. Whatever it
was, it wasn't cheap.",""
"Hint_Y4_26","Nothing left to do but grab the
Mini Paint Star!","Nothing left to do but grab the
Mini Paint Star!",""
