"Label","String","Translation",""
"ItemName_PNL_FIRE_FLOWER","Fire Flower","Fire Flower",""
"ItemName_PNL_NOK","Koopa Troopa","Koopa Troopa",""
"ItemName_PNL_ROY","Roy","Roy",""
"ItemName_PNL_INSTANT_CAMERA","Instant Camera","Instant Camera",""
"ItemName_PNL_RECORDER","Recorder","Recorder",""
"ItemName_PNL_SMPL_BALLOON","Balloons Replica","Balloons Replica",""
"ItemName_PNL_SMPL_TUB","Basin Replica","Basin Replica",""
"ItemName_PNL_SMPL_DRYER","Hair Dryer Replica","Hair Dryer Replica",""
"ItemName_PNL_SMPL_LOUPE","Magnifying Glass Replica","Magnifying Glass Replica",""
"ItemName_PNL_SMPL_BULB","Lightbulb Replica","Lightbulb Replica",""
"ItemName_PNL_STMUC_Y","Yellow Slurp Snifit","Yellow Slurp Snifit",""
"ItemName_PNL_LMY","Lemmy","Lemmy",""
"ItemName_PNL_BONE","Bone","Bone",""
"ItemName_PNL_SMPL_MEGAPHONE","Megaphone Replica","Megaphone Replica",""
"ItemName_PNL_SMALL_JUMPX3","Worn-Out Jump x3","Worn-Out Jump x3",""
"ItemName_PNL_SMALL_JUMPX5","Worn-Out Jump x5","Worn-Out Jump x5",""
"ItemName_PNL_STHEI_B","Blue Slurp Guy","Blue Slurp Guy",""
"ItemName_KEY_B3_BIRD_IN_CAGE","Caged","Caged"," "
"ItemName_PNL_OPENER","Bottle Opener","Bottle Opener",""
"ItemName_PNL_KPA","Black Bowser's Castle","Black Bowser's Castle",""
"ItemName_PNL_SMPL_PLUNGER","Plunger Replica","Plunger Replica",""
"ItemName_PNL_SMPL_BATTERY","Battery Replica","Battery Replica",""
"ItemName_KEY_V2_SEA_MEMO_1","Day 1 Journal Entry","Day 1 Journal Entry",""
"ItemName_KEY_V2_SEA_MEMO_2","Day 2 Journal Entry","Day 2 Journal Entry",""
"ItemName_KEY_V2_SEA_MEMO_3","Day 3 Journal Entry","Day 3 Journal Entry",""
"ItemName_PNL_FAN","Fan","Fan",""
"ItemName_KEY_PERMIT","Mountain Climbing Permit","Mountain Climbing Permit",""
"ItemName_KEY_V2_SEA_MEMO_4","Day 4 Journal Entry","Day 4 Journal Entry",""
"ItemName_PNL_IGY","Iggy","Iggy",""
"ItemName_PNL_LEMON","Lemon","Lemon",""
"ItemName_KEY_V2_SEA_MEMO_5","Day 5 Journal Entry","Day 5 Journal Entry",""
"ItemName_LETTER_PEACH_02","Holo-Peach PR-M2","Holo-Peach PR-M2",""
"ItemName_PNL_FIRE_HAMMER","Blazehammer","Blazehammer",""
"ItemName_PNL_JBBRS","Circus Bro","Circus Bro",""
"ItemName_KEY_R2_KINOPIO_TUNIC","Toad's Vest","Toad's Vest",""
"ItemName_LETTER_PEACH_03","Holo-Peach PR-M3","Holo-Peach PR-M3",""
"ItemName_PNL_TAIL","Tail","Tail",""
"ItemName_PNL_EXTINGUISHER","Fire Extinguisher","Fire Extinguisher",""
"ItemName_PNL_SMPL_MIRROR_BALL","Disco Ball Replica","Disco Ball Replica",""
"ItemName_LETTER_PEACH_04","Holo-Peach PR-M4","Holo-Peach PR-M4",""
"ItemName_LETTER_PEACH_05","Holo-Peach PR-M5","Holo-Peach PR-M5",""
"ItemName_PNL_KUR","Goomba","Goomba",""
"ItemName_PNL_GBN","Spike","Spike",""
"ItemName_LETTER_PEACH_06","Holo-Peach PR-M6","Holo-Peach PR-M6",""
"ItemName_KEY_BB_FISHING_ROD","Fishing Pole","Fishing Pole",""
"ItemName_LETTER_PEACH_07","Holo-Peach PR-M7","Holo-Peach PR-M7",""
"ItemName_PNL_BIG_HAMMER","Big Hammer","Big Hammer",""
"ItemName_LETTER_PEACH_08","Holo-Peach PR-M1","Holo-Peach PR-M1",""
"ItemName_PNL_SUPERBIG_HAMMER","Huge Hammer","Huge Hammer",""
"ItemName_PNL_SUPERBIG_PICO_HAMMER","Huge Eekhammer","Huge Eekhammer",""
"ItemName_PNL_ICE_FLOWER","Ice Flower","Ice Flower",""
"ItemName_PNL_TUB","Basin","Basin",""
"ItemName_PNL_MIRROR_BALL","Disco Ball","Disco Ball",""
"ItemName_PNL_CORK","Cork","Cork",""
"ItemName_PNL_JANKEN_ROCK","Rock","Rock",""
"ItemName_PNL_STHEI_R","Red Slurp Guy","Red Slurp Guy",""
"ItemName_PNL_BIG_HAMMERX2","Big Hammer x2","Big Hammer x2",""
"ItemName_LETTER_LUIGI_01","Luigi's First Letter","Luigi's First Letter",""
"ItemName_LETTER_LUIGI_02","Luigi's Second Letter","Luigi's Second Letter",""
"ItemName_LETTER_LUIGI_03","Luigi's Third Letter","Luigi's Third Letter",""
"ItemName_PNL_TGZ","Spiny","Spiny",""
"ItemName_LETTER_LUIGI_04","Luigi's Fourth Letter","Luigi's Fourth Letter",""
"ItemName_LETTER_JKMAJIN_01","The King Appears!","The King Appears!",""
"ItemName_PNL_BIG_FIRE_FLOWER","Big Fire Flower","Big Fire Flower",""
"ItemName_PNL_BRAZIER","Charcoal Grill","Charcoal Grill",""
"ItemName_PNL_SMPL_SALT_AND_PEPPER","Salt and Pepper Replica","Salt and Pepper Replica",""
"ItemName_LETTER_LUIGI_05","Luigi's Fifth Letter","Luigi's Fifth Letter",""
"ItemName_PNL_MUC_B","Blue Snifit","Blue Snifit",""
"ItemName_PNL_SMPL_CORK","Cork Replica","Cork Replica",""
"ItemName_LETTER_LUIGI_06","Luigi's Sixth Letter","Luigi's Sixth Letter",""
"ItemName_PNL_SUPERBIG_LINE_JUMP","Huge Line Jump","Huge Line Jump",""
"ItemName_PNL_STHEI_Y","Yellow Slurp Guy","Yellow Slurp Guy",""
"ItemName_PNL_LUCKYCAT","Cat-o-Luck","Cat-o-Luck",""
"ItemName_KEY_BB_MAG_BURGER","Magma Burger","Magma Burger",""
"ItemName_LETTER_LUIGI_07","Luigi's Seventh Letter","Luigi's Seventh Letter",""
"ItemName_PNL_SUPERBIG_IRON_JUMP","Huge Iron Jump","Huge Iron Jump",""
"ItemName_PNL_THROW_HAMMER","Hurlhammer","Hurlhammer",""
"ItemName_PNL_SPIN_JUMP","Spin Jump","Spin Jump",""
"ItemName_PNL_SNB_G","Green Pokey","Green Pokey",""
"ItemName_PNL_CBN","Fuzzy","Fuzzy",""
"ItemName_PNL_MEGAPHONE","Megaphone","Megaphone",""
"ItemName_PNL_SMPL_TEAPOT","Teapot Replica","Teapot Replica",""
"ItemName_KEY_VB_MUC_LETTER","Letter from Chest","Letter from Chest",""
"ItemName_PNL_BIG_SPIN_JUMP","Big Spin Jump","Big Spin Jump",""
"ItemName_PNL_MUC_G","Green Snifit","Green Snifit",""
"ItemName_PNL_SMPL_LUCKYCAT","Cat-o-Luck Replica","Cat-o-Luck Replica",""
"ItemName_LETTER_JKMAJIN_09","Long Live the King!","Long Live the King!",""
"ItemName_PNL_SPRING_JUMP","Hopslipper","Hopslipper",""
"ItemName_PNL_SMPL_PIGGY_BANK","Piggy Bank Replica","Piggy Bank Replica",""
"ItemName_PNL_SMPL_RECORDER","Recorder Replica","Recorder Replica",""
"ItemName_PNL_TOGE_MUC_B","Blue Spike Snifit","Blue Spike Snifit",""
"ItemName_PNL_SPRING_JUMPX2","Hopslipper x2","Hopslipper x2",""
"ItemName_PNL_KRN","Dry Bones","Dry Bones",""
"ItemName_PNL_SMPL_BRAZIER","Charcoal Grill Replica","Charcoal Grill Replica",""
"ItemName_PNL_SPRING_JUMPX3","Hopslipper x3","Hopslipper x3",""
"ItemName_PNL_PKUR","Paragoomba","Paragoomba",""
"ItemName_PNL_BIG_ICE_FLOWER","Big Ice Flower","Big Ice Flower",""
"ItemName_PNL_SMPL_TURNIP","Turnip Replica","Turnip Replica",""
"ItemName_PNL_SMALL_HAMMER","Worn-Out Hammer","Worn-Out Hammer",""
"ItemName_PNL_MUC_P","Pink Snifit","Pink Snifit",""
"ItemName_PNL_TOGE_MUC_G","Green Spike Snifit","Green Spike Snifit",""
"ItemName_KEY_OB_TRUNK_KEY","Trunk Key","Trunk Key",""
"ItemName_PNL_PUK","Cheep Cheep","Cheep Cheep",""
"ItemName_PNL_BOM","Bob-omb","Bob-omb",""
"ItemName_PNL_KMK","Kamek","Kamek",""
"ItemName_PNL_SMPL_BONE","Bone Replica","Bone Replica",""
"ItemName_PNL_PICO_HAMMERX2","Eekhammer x2","Eekhammer x2",""
"ItemName_PNL_MUC_R","Red Snifit","Red Snifit",""
"ItemName_KEY_B3_CAGE","Birdcage ","Birdcage ",""
"ItemName_PNL_PICO_HAMMERX3","Eekhammer x3","Eekhammer x3",""
"ItemName_PNL_SMALL_HAMMERX3","Worn-Out Hammer x3","Worn-Out Hammer x3",""
"ItemName_PNL_BBRS","Boomerang Bro","Boomerang Bro",""
"ItemName_PNL_BIG_PICO_HAMMERX2","Big Eekhammer x2","Big Eekhammer x2",""
"ItemName_PNL_BIG_ROLLING_HAMMER","Big KO Hammer","Big KO Hammer",""
"ItemName_PNL_SMALL_HAMMERX5","Worn-Out Hammer x5","Worn-Out Hammer x5",""
"ItemName_PNL_TMET","Spike Top","Spike Top",""
"ItemName_PNL_MTN","Morton","Morton",""
"ItemName_PNL_KANADUCHI","Claw Hammer","Claw Hammer",""
"ItemName_PNL_RLG_HEI_G","Green Roller Guy","Green Roller Guy",""
"ItemName_PNL_LINE_JUMP","Line Jump","Line Jump",""
"ItemName_PNL_FROG","Frog Suit","Frog Suit",""
"ItemName_PNL_MUC_Y","Yellow Snifit","Yellow Snifit",""
"ItemName_PNL_TOGE_MUC_P","Pink Spike Snifit","Pink Spike Snifit",""
"ItemName_PNL_SMPL_WASHER","Washing Machine Replica","Washing Machine Replica",""
"ItemName_KEY_G2_STAR_PIECE_1","Paint Star Piece 1","Paint Star Piece 1",""
"ItemName_PNL_IRON_JUMP","Iron Jump","Iron Jump",""
"ItemName_KEY_G2_STAR_PIECE_2","Paint Star Piece 2","Paint Star Piece 2",""
"ItemName_PNL_BIG_LINE_JUMP","Big Line Jump","Big Line Jump",""
"ItemName_PNL_TOGE_MUC_R","Red Spike Snifit","Red Spike Snifit",""
"ItemName_PNL_JHBRS","Juggler Bro","Juggler Bro",""
"ItemName_KEY_G2_STAR_PIECE_3","Paint Star Piece 3","Paint Star Piece 3",""
"ItemName_PNL_BIG_IRON_JUMP","Big Iron Jump","Big Iron Jump",""
"ItemName_PNL_HEI_B","Blue Shy Guy","Blue Shy Guy",""
"ItemName_PNL_PKF","Fire Piranha Plant","Fire Piranha Plant",""
"ItemName_PNL_SALT_AND_PEPPER","Salt and Pepper","Salt and Pepper",""
"ItemName_KEY_G2_STAR_PIECE_4","Paint Star Piece 4","Paint Star Piece 4",""
"ItemName_KEY_Y3_TOGEZO_STING","Sharp Spike","Sharp Spike",""
"ItemName_PNL_HAMMER","Hammer","Hammer",""
"ItemName_PNL_PIGGY_BANK","Piggy Bank","Piggy Bank",""
"ItemName_KEY_G2_STAR_PIECE_5","Paint Star Piece 5","Paint Star Piece 5",""
"ItemName_KEY_R2_KINOPIO_SHOES","Toad's Shoes","Toad's Shoes",""
"ItemName_PNL_BALLOON","Balloons","Balloons",""
"ItemName_LETTER_ANNOUNCE_01","Fire Flower Training!","Fire Flower Training!",""
"ItemName_PNL_SUPERBIG_THROW_HAMMER","Huge Hurlhammer","Huge Hurlhammer",""
"ItemName_PNL_BIG_KINOKO","Big Mushroom","Big Mushroom",""
"ItemName_LETTER_ANNOUNCE_02","From Ruddy Road Café","From Ruddy Road Café",""
"ItemName_PNL_PICO_HAMMER","Eekhammer","Eekhammer",""
"ItemName_PNL_SUPERBIG_KINOKO","Mega Mushroom","Mega Mushroom",""
"ItemName_PNL_IRON_JUMPX2","Iron Jump x2","Iron Jump x2",""
"ItemName_PNL_1UP_KINOKO","1-Up Mushroom","1-Up Mushroom",""
"ItemName_PNL_HEI_G","Green Shy Guy","Green Shy Guy",""
"ItemName_PNL_RLG_HEI_P","Pink Roller Guy","Pink Roller Guy",""
"ItemName_LETTER_ANNOUNCE_04","Thank You","Thank You",""
"ItemName_PNL_IRON_JUMPX3","Iron Jump x3","Iron Jump x3",""
"ItemName_PNL_TOGE_MUC_Y","Yellow Spike Snifit","Yellow Spike Snifit",""
"ItemName_LETTER_ANNOUNCE_05","I Ain't Done Yet!","I Ain't Done Yet!",""
"ItemName_PNL_RLG_HEI_R","Red Roller Guy","Red Roller Guy",""
"ItemName_PNL_HAMMERX2","Hammer x2","Hammer x2",""
"ItemName_PNL_TRS","Boo","Boo",""
"ItemName_PNL_COMPASS","Compass","Compass",""
"ItemName_PNL_JANKEN_PAPER","Paper","Paper",""
"ItemName_KEY_Y4_CARD_KEY","Snifit's Card Key","Snifit's Card Key",""
"ItemName_LETTER_ANNOUNCE_07","A Modest Request","A Modest Request",""
"ItemName_PNL_BIG_SPRING_JUMP","Big Hopslipper","Big Hopslipper",""
"ItemName_PNL_HAMMERX3","Hammer x3","Hammer x3",""
"ItemName_PNL_TOGE_HEI_B","Blue Spike Guy","Blue Spike Guy",""
"ItemName_PNL_IBRS","Ice Bro","Ice Bro",""
"ItemName_PNL_BULB","Lightbulb","Lightbulb",""
"ItemName_LETTER_ANNOUNCE_08","Purple Flower Teapot","Purple Flower Teapot",""
"ItemName_PNL_BSA","Swoop","Swoop",""
"ItemName_PNL_SNB","Pokey","Pokey",""
"ItemName_PNL_LIT","Dino Rhino","Dino Rhino",""
"ItemName_PNL_PLUNGER","Plunger","Plunger",""
"ItemName_PNL_ICE_PICK","Ice Pick","Ice Pick",""
"ItemName_KEY_B3_SHEET","Fresh Sheets","Fresh Sheets",""
"ItemName_PNL_ROLLING_HAMMER","KO Hammer","KO Hammer",""
"ItemName_PNL_HEI_P","Pink Shy Guy","Pink Shy Guy",""
"ItemName_PNL_TOGE_HEI_G","Green Spike Guy","Green Spike Guy",""
"ItemName_PNL_TEAPOT","Teapot","Teapot",""
"ItemName_PNL_HEI_R","Red Shy Guy","Red Shy Guy",""
"ItemName_KEY_R2_KINOPIO_PANTS","Toad's Pants","Toad's Pants",""
"ItemName_PNL_SMPL_ICE_PICK","Ice Pick Replica","Ice Pick Replica",""
"ItemName_PNL_SMPL_EXTINGUISHER","Fire Extinguisher Replica","Fire Extinguisher Replica",""
"ItemName_PNL_SMPL_OPENER","Bottle Opener Replica","Bottle Opener Replica",""
"ItemName_PNL_THROW_HAMMERX2","Hurlhammer x2","Hurlhammer x2",""
"ItemName_PNL_SMPL_COMPASS","Compass Replica","Compass Replica",""
"ItemName_PNL_THROW_HAMMERX3","Hurlhammer x3","Hurlhammer x3",""
"ItemName_PNL_SMPL_WASHER_EU","Washing Machine Replica","Washing Machine Replica",""
"ItemName_PNL_SUPERBIG_JUMP","Huge Jump","Huge Jump",""
"ItemName_PNL_LDW","Ludwig","Ludwig",""
"ItemName_PNL_SUPERBIG_ROLLING_HAMMER","Huge KO Hammer","Huge KO Hammer",""
"ItemName_PNL_POW_BLOCK","POW Block","POW Block",""
"ItemName_PNL_HEI_Y","Yellow Shy Guy","Yellow Shy Guy",""
"ItemName_PNL_TOGE_HEI_P","Pink Spike Guy","Pink Spike Guy",""
"ItemName_PNL_TURNIP","Turnip","Turnip",""
"ItemName_PNL_TOGE_HAT","Spike Helmet","Spike Helmet",""
"ItemName_PNL_HKUR","Bone Goomba","Bone Goomba",""
"ItemName_PNL_MET","Buzzy Beetle","Buzzy Beetle",""
"ItemName_PNL_MBRS","Sledge Bro","Sledge Bro",""
"ItemName_PNL_TOGE_HEI_R","Red Spike Guy","Red Spike Guy",""
"ItemName_PNL_DHEI","The Shy Bandit","The Shy Bandit",""
"ItemName_KEY_V2_SEA_MEMO_Dummy","Sea Journal","Sea Journal",""
"ItemName_PNL_BIG_JUMPX2","Big Jump x2","Big Jump x2",""
"ItemName_PNL_STMUC_B","Blue Slurp Snifit","Blue Slurp Snifit",""
