"Label","String","Translation"
"DisplayHelp_Art_T31","Prototype Course 1","Prototype Course 1"
"DisplayHelp_Sound_R1_T3","Prisma Café","Prisma Café"
"DisplayHelp_Art_T32","Bowser's Castle Ext.","Bowser's Castle Ext."
"DisplayHelp_Sound_R1_T4","Circle Up, Shy Guys!","Circle Up, Shy Guys!"
"DisplayHelp_Art_T33","Bowser's Castle Int.","Bowser's Castle Int."
"DisplayHelp_Sound_R1_T5","Shy Vandals","Shy Vandals"
"DisplayHelp_Sound_SP_T1","Main Theme ","Main Theme "
"DisplayHelp_Art_T34","Black Bowser's Factory","Black Bowser's Factory"
"DisplayHelp_Sound_B3_T1","Dark Bloo Inn","Dark Bloo Inn"
"DisplayHelp_Sound_R1_T6","Rescue Toad Theme","Rescue Toad Theme"
"DisplayHelp_Sound_SP_T2","Main Theme (Ragtime)","Main Theme (Ragtime)"
"DisplayHelp_Art_T35","Bowser","Bowser"
"DisplayHelp_Sound_B3_T2","Eerie Hotel","Eerie Hotel"
"DisplayHelp_Sound_Y1","Daffodil Peak","Daffodil Peak"
"DisplayHelp_Sound_R1_T7","Thing: Fire Extinguisher","Thing: Fire Extinguisher"
"DisplayHelp_Sound_SP_T3","White Letter Opening","White Letter Opening"
"DisplayHelp_Art_T36","The Emerald Circus","The Emerald Circus"
"DisplayHelp_Sound_B3_T3","Paranormal Accommodations","Paranormal Accommodations"
"DisplayHelp_Sound_Y2","Sunglow Ridge","Sunglow Ridge"
"DisplayHelp_Sound_SP_T4","Roshambo Temple","Roshambo Temple"
"DisplayHelp_Art_T37","Prototype Course 2","Prototype Course 2"
"DisplayHelp_Sound_B3_T4","Toadally Spooky","Toadally Spooky"
"DisplayHelp_Sound_Y3","Château Chanterelle","Château Chanterelle"
"DisplayHelp_Sound_SP_T5","Overworld","Overworld"
"DisplayHelp_Art_T38","Redpepper Volcano","Redpepper Volcano"
"DisplayHelp_Sound_Y4","Mustard Café","Mustard Café"
"DisplayHelp_Sound_V2_T1","Violet Passage","Violet Passage"
"DisplayHelp_Sound_SP_T6","Shy Bandit's Theme","Shy Bandit's Theme"
"DisplayHelp_Art_T39","Inky (Huey Prototype)","Inky (Huey Prototype)"
"DisplayHelp_Sound_G1_T1","Unremarkable Forest","Unremarkable Forest"
"DisplayHelp_Sound_V2_T2","Get the Boat Back","Get the Boat Back"
"DisplayHelp_Sound_SP_T7","Piper's Medley","Piper's Medley"
"DisplayHelp_Sound_G1_T2","Mondo Woods","Mondo Woods"
"DisplayHelp_Sound_V2_T3","To the Open Sea!","To the Open Sea!"
"DisplayHelp_Sound_SP_T8","Prisma Splash!","Prisma Splash!"
"DisplayHelp_Sound_G1_T3","Kamek's Theme","Kamek's Theme"
"DisplayHelp_Sound_V2_T4","Sailor's Song","Sailor's Song"
"DisplayHelp_Sound_G1_T4","The Happy Professor","The Happy Professor"
"DisplayHelp_Sound_GB_T1","Emerald Circus","Emerald Circus"
"DisplayHelp_Sound_V2_T5","Thing: Battery","Thing: Battery"
"DisplayHelp_Sound_B1_T1","Indigo Underground","Indigo Underground"
"DisplayHelp_Sound_RB","The Crimson Tower","The Crimson Tower"
"DisplayHelp_Sound_GB_T2","Lemmy's Grand Finale","Lemmy's Grand Finale"
"DisplayHelp_Sound_V2_T6","Thing: Compass","Thing: Compass"
"DisplayHelp_Sound_B1_T2","Straw of Doom (Reprise)","Straw of Doom (Reprise)"
"DisplayHelp_Sound_O2_T1","Kiwano Temple","Kiwano Temple"
"DisplayHelp_Sound_GB_T3","Thing: Disco Ball","Thing: Disco Ball"
"DisplayHelp_Sound_B1_T3","Thing: Lemon","Thing: Lemon"
"DisplayHelp_Sound_O2_T2","Magma Flows, Lava Glows","Magma Flows, Lava Glows"
"DisplayHelp_Sound_GB_T4","Paint the Dance Floor","Paint the Dance Floor"
"DisplayHelp_Sound_B1_T4","Thing: Plunger","Thing: Plunger"
"DisplayHelp_Sound_O2_T3","A Fearsome Foe","A Fearsome Foe"
"DisplayHelp_Sound_KP","Black Bowser's Castle","Black Bowser's Castle"
"DisplayHelp_Sound_O1","Marmalade Valley","Marmalade Valley"
"DisplayHelp_Sound_YB","The Golden Coliseum","The Golden Coliseum"
"DisplayHelp_Sound_O2","Kiwano Temple","Kiwano Temple"
"DisplayHelp_Sound_O3","Toad Trainworks","Toad Trainworks"
"DisplayHelp_Sound_O4","Tangerino Grill","Tangerino Grill"
"DisplayHelp_Art_T00","Art Style Concept","Art Style Concept"
"DisplayHelp_Art_T01","Red World","Red World"
"DisplayHelp_Art_T02","Indigo Underground","Indigo Underground"
"DisplayHelp_Art_T03","Initial Mario Designs","Initial Mario Designs"
"DisplayHelp_Art_T04","Bloo Bay Beach ","Bloo Bay Beach "
"DisplayHelp_Art_T05","Mountainous Region","Mountainous Region"
"DisplayHelp_Sound_V1","Plum Park","Plum Park"
"DisplayHelp_Art_T06","Port Prisma","Port Prisma"
"DisplayHelp_Sound_V2","Violet Passage","Violet Passage"
"DisplayHelp_Art_T07","Opening Images","Opening Images"
"DisplayHelp_Sound_V3","Vortex Island","Vortex Island"
"DisplayHelp_Sound_V4_T1","Fortune Island, Ahoy!","Fortune Island, Ahoy!"
"DisplayHelp_Art_T08","The Crimson Tower","The Crimson Tower"
"DisplayHelp_Sound_G3_T1","Fight! (Pixel Mix)","Fight! (Pixel Mix)"
"DisplayHelp_Sound_V4","Lighthouse Island","Lighthouse Island"
"DisplayHelp_Sound_V4_T2","Lighthouse Disco","Lighthouse Disco"
"DisplayHelp_Sound_VB_T1","Fortune Island","Fortune Island"
"DisplayHelp_Art_T09","Chosen Toads","Chosen Toads"
"DisplayHelp_Sound_G3_T2","Thing: Claw Hammer","Thing: Claw Hammer"
"DisplayHelp_Sound_VB_T2","Fortune Island (Parallel)","Fortune Island (Parallel)"
"DisplayHelp_Sound_G3_T3","Thing: Recorder","Thing: Recorder"
"DisplayHelp_Sound_VB_T3","Rumble with Wendy","Rumble with Wendy"
"DisplayHelp_Sound_VB_T4","Thing: Salt and Pepper","Thing: Salt and Pepper"
"DisplayHelp_Sound_VB_T5","Thing: Charcoal Grill","Thing: Charcoal Grill"
"DisplayHelp_Sound_O4_T1","Tangerino Grill","Tangerino Grill"
"DisplayHelp_Sound_OB","Sunset Express","Sunset Express"
"DisplayHelp_Sound_VB_T6","Prismatic Rhapsody","Prismatic Rhapsody"
"DisplayHelp_Sound_Y2_T1","Sunglow Ridge","Sunglow Ridge"
"DisplayHelp_Sound_O4_T2","Kitchen Stadium","Kitchen Stadium"
"DisplayHelp_Sound_OB_T1","Sunset Express","Sunset Express"
"DisplayHelp_Sound_Y2_T2","Unfurl Power","Unfurl Power"
"DisplayHelp_Sound_O4_T3","Cooking With Mario","Cooking With Mario"
"DisplayHelp_Sound_OB_T2","The Wandering Sombrero","The Wandering Sombrero"
"DisplayHelp_Sound_O4_T4"," cThing: Magnifying Glass d"," cThing: Magnifying Glass d"
"DisplayHelp_Sound_OB_T3","Larry's Runaway Train","Larry's Runaway Train"
"DisplayHelp_Art_T20","Plum Park","Plum Park"
"DisplayHelp_Sound_TN","Port Prisma","Port Prisma"
"DisplayHelp_Sound_OB_T4","This Here's Paint Country","This Here's Paint Country"
"DisplayHelp_Art_T21","Snifit or Whiffit","Snifit or Whiffit"
"DisplayHelp_Art_T22","Super Ludship","Super Ludship"
"DisplayHelp_Art_T23","Forest Areas","Forest Areas"
"DisplayHelp_Sound_TN_T1","Port Prisma","Port Prisma"
"DisplayHelp_Sound_R2_T1","Cherry Lake","Cherry Lake"
"DisplayHelp_Art_T24","Toad Trainworks","Toad Trainworks"
"DisplayHelp_Sound_TN_T2","Prisma Cardware","Prisma Cardware"
"DisplayHelp_Sound_R2_T2","Cut Out the Cutout!","Cut Out the Cutout!"
"DisplayHelp_Art_T25","Captain's Ship","Captain's Ship"
"DisplayHelp_Sound_TN_T3","Prisma Museum","Prisma Museum"
"DisplayHelp_Sound_R2_T3","#1 Thing Squeezer","#1 Thing Squeezer"
"DisplayHelp_Sound_VB","Fortune Island","Fortune Island"
"DisplayHelp_Art_T26","Train Model D555","Train Model D555"
"DisplayHelp_Sound_TN_T4","Prisma Postal Toad","Prisma Postal Toad"
"DisplayHelp_Sound_R2_T4","Power of the Chosen","Power of the Chosen"
"DisplayHelp_Art_T27","The Violet Isles","The Violet Isles"
"DisplayHelp_Sound_TN_T5","Sketchy Corner","Sketchy Corner"
"DisplayHelp_Art_T28","Tangerino Grill","Tangerino Grill"
"DisplayHelp_Sound_TN_T6","Broken Down Town","Broken Down Town"
"DisplayHelp_Art_T29","Foreman and Captain","Foreman and Captain"
"DisplayHelp_Sound_TN_T7","Toad in Trouble!","Toad in Trouble!"
"DisplayHelp_Sound_TN_T8","Straw of Doom","Straw of Doom"
"DisplayHelp_Sound_G1","Mondo Woods","Mondo Woods"
"DisplayHelp_Sound_V3_T1","Island in Violet","Island in Violet"
