"Label","String","Translation"
"Y1_Pass_Master10","Have a good climb!","Have a good climb!"
"Y1_Pass_Master13","Woooooo! My cabin!
I can't believe it!","Woooooo! My cabin!
I can't believe it!"
"Y1_Pass_Master14","Oh!
This is my favorite chair!  Somehow it must have gotten folded
up into a plain, old box!","Oh!
This is my favorite chair!  Somehow it must have gotten folded
up into a plain, old box!"
"Y1_Pass_Master05_01","Why harm a defenseless doormat?
Vandals...","Why harm a defenseless doormat?
Vandals..."
"Y1_Pass_Master15","But they must have also drained the
color from it. What a shame.
It was my favorite chair ever.","But they must have also drained the
color from it. What a shame.
It was my favorite chair ever."
"Y1_Pass_Master05_02","Pretty sure there's still a spot
near the chimney.
Ugh...","Pretty sure there's still a spot
near the chimney.
Ugh..."
"Y1_Pass_Master05_03","Pretty sure there's still a spot near
the window.
Ugh...","Pretty sure there's still a spot near
the window.
Ugh..."
"Y1_Pass_Master05_04","It almost feels like we're frozen in
time. Like time...has stopped.
Ugh...","It almost feels like we're frozen in
time. Like time...has stopped.
Ugh..."
"Y1_Pass_Master05_05","I can't believe they messed with 
my favorite chair. It's just not the
same without its color.","I can't believe they messed with 
my favorite chair. It's just not the
same without its color."
"Y1_Pass_Master05_06","It still feels like there's a colorless
spot somewhere on the floor. Ugh...","It still feels like there's a colorless
spot somewhere on the floor. Ugh..."
"Y1_Pass_Master05_07","Aw man. My mom's painting is still
messed up.
Ugh...","Aw man. My mom's painting is still
messed up.
Ugh..."
"Y1_Pass_Master05_08","Still feels like there's a big spot left
somewhere on the floor. Ugh...","Still feels like there's a big spot left
somewhere on the floor. Ugh..."
"Y1_PurpleRescue01_01","Unnngh...
I fell off a cliff and creased my leg.
It's pretty bad...","Unnngh...
I fell off a cliff and creased my leg.
It's pretty bad..."
"Y1_YellowAwake_Gatekeeper01","Whoa! Whoa!
Keep your lid on!","Whoa! Whoa!
Keep your lid on!"
"Y1_Pass_Master05_09","Still feels like there's a spot
somewhere on the floor.
Ugh...","Still feels like there's a spot
somewhere on the floor.
Ugh..."
"Y1_PurpleRescue01_02","OWWWWWWWWW!
That wasn't my leg!","OWWWWWWWWW!
That wasn't my leg!"
"Y1_YellowAwake_Gatekeeper02","The Mountain Sage isn't real?  I'm as disappointed as you are...","The Mountain Sage isn't real?  I'm as disappointed as you are..."
"Y1_PurpleRescue01_03","Oh, Mario!
You fixed my leg!
Thanks!","Oh, Mario!
You fixed my leg!
Thanks!"
"Y1_YellowAwake_Gatekeeper03","Yes, I believed in my heart of hearts
that the Mountain Sage was real.  Though I can't remember why I 
was so convinced...  Come to think of it, I can't remember 
anything before accepting this
gatekeeper job.  The last thing I remember is the park
ranger bringing me here after finding
me stranded on the mountaintop.  And it was the ranger who said the
Mountain Sage was real!
Do you think he lied to us?","Yes, I believed in my heart of hearts
that the Mountain Sage was real.  Though I can't remember why I 
was so convinced...  Come to think of it, I can't remember 
anything before accepting this
gatekeeper job.  The last thing I remember is the park
ranger bringing me here after finding
me stranded on the mountaintop.  And it was the ranger who said the
Mountain Sage was real!
Do you think he lied to us?"
"Y1_NoOpen_Painky01","A Mountain Sage!
That's one of those guys who
knows everything, right?","A Mountain Sage!
That's one of those guys who
knows everything, right?"
"Y1_YellowAwake_Gatekeeper04","I wonder what happened to the
Mountain Sage. My mind's a 
complete blank. I've got no idea!","I wonder what happened to the
Mountain Sage. My mind's a 
complete blank. I've got no idea!"
"Y1_NoOpen_Painky02","Amazing! Did you hear that, Mario?  If this guy's really a wise, old sage,
he must know where to find the
Paint Stars!  Let's climb this mountain and meet
the Mountain Sage!","Amazing! Did you hear that, Mario?  If this guy's really a wise, old sage,
he must know where to find the
Paint Stars!  Let's climb this mountain and meet
the Mountain Sage!"
"Y1_Pass2_Master01_22","There is a Mountain Sage here!
I've seen him with my own eyes!","There is a Mountain Sage here!
I've seen him with my own eyes!"
"Y1_YellowAwake2_Gatekeeper01","Eureka...
I remember everything.  The color missing from my head
must've damaged my memory.  I am one of the Chosen Toads,
the divine few imbued with great
power.  I spend my days training on the
mountaintop, waiting for my destiny
to take shape.","Eureka...
I remember everything.  The color missing from my head
must've damaged my memory.  I am one of the Chosen Toads,
the divine few imbued with great
power.  I spend my days training on the
mountaintop, waiting for my destiny
to take shape."
"Y1_YellowAwake2_Gatekeeper02","The world is vast, young one, and I
am but a Toad.  But, it is a Chosen Toad's duty to
serve those in need.  I've no doubt that I'll be able to aid
you in some manner, when the time
is right.  If you find yourself up against a wall,
rest assured that the Chosen Toads
hold the key to getting beyond it.","The world is vast, young one, and I
am but a Toad.  But, it is a Chosen Toad's duty to
serve those in need.  I've no doubt that I'll be able to aid
you in some manner, when the time
is right.  If you find yourself up against a wall,
rest assured that the Chosen Toads
hold the key to getting beyond it."
"Y1_YellowAwake2_Painky00","You train on the mountaintop?!
So that means...","You train on the mountaintop?!
So that means..."
"Y1_YellowAwake2_Gatekeeper03","I have foreseen it, young one...  If the tower gate impedes thee,
the Chosen Toads hold the key.","I have foreseen it, young one...  If the tower gate impedes thee,
the Chosen Toads hold the key."
"Y1_YellowAwake2_Painky01","Well, color me impressed!
Remind me to stay on your good
side...  Hey, do you know anything about
the Big Paint Stars? We're looking
for them.","Well, color me impressed!
Remind me to stay on your good
side...  Hey, do you know anything about
the Big Paint Stars? We're looking
for them."
"Y1_YellowAwake2_Gatekeeper04","I'll meet you at the Crimson Tower,
young one.","I'll meet you at the Crimson Tower,
young one."
"Y1_YellowAwake2_Gatekeeper05","Good question, young one.","Good question, young one."
"Y1_YellowAwake2_Painky02","Oh, OK. That sounds neat.
Catch ya later, mountain man!","Oh, OK. That sounds neat.
Catch ya later, mountain man!"
"Y1_YellowAwake2_Gatekeeper06","BEHOLD THE POWER OF THE CHOSEN!","BEHOLD THE POWER OF THE CHOSEN!"
"Y1_YellowAwake2_Painky04","Great! So there really IS a Mountain
Sage!  ...But you lost your memory?  Are you still able to use the power
of the Chosen Toads?","Great! So there really IS a Mountain
Sage!  ...But you lost your memory?  Are you still able to use the power
of the Chosen Toads?"
